rev,Created,training/metrics.json:RMSE,Training CO2,Total CO2,metrics/metrics.json:RMSE,MSE,MAE,Max_Error,MAPE,R2,EVS,D2_Tweedie,D2_Absolute,D2_Pinball,train.model_name,train.Ridge.alpha,train.Lasso.alpha,train.ElasticNet.alpha,train.ElasticNet.l1_ratio,train.RandomForestRegressor.max_depth,train.XGBRegressor.learning_rate,train.XGBRegressor.max_depth,train.XGBRegressor.n_estimators,train.XGBRFRegressor.max_depth,train.XGBRFRegressor.num_parallel_tree,train.XGBRFRegressor.subsample,train.XGBRFRegressor.colsample_bynode,model.pkl
workspace,,15.361997604370117,3.8427431932654774e-05,3.917920286677338e-05,17.038084030151367,290.29632568359375,5.365978717803955,428.59815216064453,389851564212224.0,0.9465543627738953,0.9469762444496155,0.9465543617355517,0.8842817111196049,0.8842817111196049,XGBRegressor,1,0.01,0.01,0.5,5,0.1,3,100,3,100,0.6,0.5,00b81ff768cb9eb0c5fab69c3f3bbbd9
d2bd2fd,2025-12-10T10:48:50,11.009669303894043,7.81823892545157e-05,7.903320130375097e-05,12.567619323730469,157.94505310058594,4.623951435089111,417.7043762207031,2458996820672512.0,0.9709211587905884,0.9716154336929321,0.9709211814727765,0.9002835908276883,0.9002835908276883,XGBRegressor,1,0.01,0.01,0.5,5,0.05,5,200,3,100,0.6,0.5,8b6f6873a1c586540054697b7dd6e944
686ff92,2025-12-09T17:45:03,17.01290512084961,0.0007890342921075084,0.0007895465666960571,19.352043675501783,374.50159441852855,8.272042162815582,514.5609184264031,343146554455255.44,0.9310515597624585,0.9312327382574331,0.9310515597624585,0.8216118901459708,0.8216118901459708,RandomForestRegressor,1,0.01,0.01,0.5,10,0.1,3,100,3,100,0.6,0.5,84fb860221095d025982bac304088cb5
3168762,2025-12-09T15:13:25,47.441269868387124,0.00011529586995066138,0.0001357567361480277,47.14738159512807,2222.8755912766205,15.766094526826349,938.2321204381027,1619755433272152.8,0.5907525971989745,0.590838205344878,0.5907525971989747,0.66000127331759,0.66000127331759,Lasso,1,0.0001,0.01,0.5,5,0.1,3,100,3,100,0.6,0.5,89658e25af6d8ef1043314fd716d59b5
18d9529,2025-12-10T15:56:25,31.25551414489746,0.00013302990091823983,0.0001347809742773849,29.640382766723633,878.55224609375,17.075519561767578,432.93434143066406,409124625973248.0,0.8382522463798523,0.8404814004898071,0.838252222343582,0.6317633518465574,0.6317633518465574,XGBRFRegressor,1,0.01,0.01,0.5,5,0.1,3,100,6,200,0.8,0.7,9d97af97ffa14c8ccc497fdf4893e773
f08ec93,2025-12-09T15:06:52,47.442329297716206,2.1507659992848824e-05,3.9868926531358186e-05,47.038056291923525,2212.5787397221666,15.695901651755689,936.5620516616816,1644805693833136.5,0.5926483217155535,0.5927347539869976,0.5926483217155536,0.6615149955717343,0.6615149955717343,Ridge,10,0.01,0.01,0.5,5,0.1,3,100,3,100,0.6,0.5,d4178539980de8311db19dc8d1942176
4b467ef,2025-12-09T14:45:58,47.44237303419998,7.664991955273827e-05,9.91055847542427e-05,47.03815775256937,2212.5882847556018,15.695762220154876,936.5661748191171,1644696962885762.2,0.5926465644061664,0.5927330282457339,0.5926465644061664,0.661518002439837,0.661518002439837,LinearRegression,1,0.01,0.01,0.5,5,0.1,3,100,3,100,0.6,0.5,359fd7e3012409775e212a8a599752e5
7a7c9d0,2025-12-09T15:41:26,47.4052968729042,8.884402415035544e-05,9.011342771305606e-05,47.05698153049319,2214.3595107611773,15.851526733195222,935.169908726214,1699321459320132.2,0.592320468944324,0.5924129674139367,0.592320468944324,0.6581589120826207,0.6581589120826207,ElasticNet,1,0.01,0.001,0.0,5,0.1,3,100,3,100,0.6,0.5,b50178c4099d29aec04f407d1280a17e
